NHLid,Last Name,First Name,Position,Team
8475800,Pulkkinen,Teemu,LW,ARI/MIN
8477506,Pulock,Ryan,D,NYI
8473962,Purcell,Teddy,LW/RW,L.A
8471768,Pyatt,Tom,LW/C,OTT
8475796,Pysyk,Mark,D,FLA
8477961,Quenneville,John,C,N.J
8470724,Quincey,Kyle,D,CBJ/N.J
8476409,Quine,Alan,C,NYI
8471228,Radulov,Alex,RW,MTL
8477290,Raffl,Michael,LW/C,PHI
8476483,Rakell,Rickard,C/RW,ANA
8478420,Rantanen,Mikko,RW,COL
8476437,Rask,Victor,C,CAR
8477929,Rasmussen,Dennis,C,CHI
8476427,Rattie,Ty,RW,CAR/STL
8476415,Rau,Kyle,C,FLA
8471664,Raymond,Mason,LW,ANA
8476177,Read,Matt,RW/LW,PHI
8471817,Reaves,Ryan,RW,STL
8474743,Redmond,Zach,D,MTL
8476422,Reilly,Mike,D,MIN
8477933,Reinhart,Sam,C,BUF
8477916,Rendulic,Borna,RW/C,VAN
8479252,Renouf,Dan,D,DET
8467371,Ribeiro,Mike,C,NSH
8476911,Richard,Tanner,C,T.B
8470755,Richardson,Brad,RW/C,ARI
8476356,Rieder,Tobias,RW/C,ARI
8476853,Rielly,Morgan,D,TOR
8477499,Ristolainen,Rasmus,D,BUF
8476439,Ritchie,Brett,RW,DAL
8477941,Ritchie,Nick,LW,ANA
8477210,Robinson,Buddy,RW,OTT
8475210,Rodin,Anton,RW,VAN
8478542,Rodrigues,Evan,LW/C,BUF
8479291,Rooney,Kevin,C,N.J
8478458,Roslovic,Jack,C,WPG
8474849,Roussel,Antoine,LW,DAL
8477240,Rowney,Carter,RW/C,PIT
8465058,Rozsival,Michal,D,CHI
8477244,Ruhwedel,Chad,D,PIT
8471729,Russell,Kris,D,EDM
8476418,Russo,Robbie,D,DET
8475810,Rust,Bryan,RW,PIT
8471676,Ryan,Bobby,RW/LW,OTT
8478585,Ryan,Derek,C,CAR
8476438,Saad,Brandon,LW/RW,CBJ
8476447,Salomaki,Miikka,RW,NSH
8477482,Sanford,Zach,LW,STL/WSH
8477463,Santini,Steven,D,N.J
8475233,Savard,David,D,CBJ
8474579,Sbisa,Luca,D,VAN
8474618,Scandella,Marco,D,MIN
8474098,Sceviour,Colton,C/RW,FLA
8477213,Schaller,Tim,C,BOS
8476460,Scheifele,Mark,C,WPG
8475170,Schenn,Brayden,C/LW,PHI
8474568,Schenn,Luke,D,ARI
8477957,Scherbak,Nikita,RW,MTL
8473673,Schlemko,David,D,S.J
8476877,Schmaltz,Jordan,D,STL
8477951,Schmaltz,Nick,C/LW,CHI
8477220,Schmidt,Nate,D,WSH
8476766,Schneider,Cole,LW/RW,BUF
8475147,Schroeder,Jordan,C/RW,MIN
8474602,Schultz,Justin,D,PIT
8468513,Schultz,Nick,D,PHI
8475768,Schwartz,Jaden,LW/C,STL
8470607,Seabrook,Brent,D,CHI
8467875,Sedin,Daniel,LW,VAN
8467876,Sedin,Henrik,C,VAN
8476310,Sedlak,Lukas,C/LW,CBJ
8475794,Seguin,Tyler,C/RW,DAL
8469619,Seidenberg,Dennis,D,NYI
8471284,Sekera,Andrej,D,EDM
8479410,Sergachev,Mikhail,D,MTL
8473542,Sestito,Tom,LW,PIT
8471682,Setoguchi,Devin,RW,L.A
8476923,Severson,Damon,D,N.J
8475958,Sgarbossa,Michael,C,ANA/FLA
8469544,Sharp,Patrick,LW/RW/C,DAL
8474031,Shattenkirk,Kevin,D,STL/WSH
8476381,Shaw,Andrew,C/LW/RW,MTL
8476400,Shaw,Logan,C/RW,ANA
8475772,Sheahan,Riley,C,DET
8477839,Sheary,Conor,LW,PIT
8477445,Shinkaruk,Hunter,C/LW,CGY
8476913,Shore,Devin,C,DAL
8475213,Shore,Drew,C,VAN
8476406,Shore,Nick,C,L.A
8476464,Siemens,Duncan,D,COL
8475164,Silfverberg,Jakob,RW/LW,ANA
8474190,Simmonds,Wayne,RW/LW,PHI
8478866,Simon,Dominik,C,PIT
8476416,Simpson,Dillon,D,EDM
8476925,Sissons,Colton,C,NSH
8471681,Skille,Jack,RW,VAN
8475784,Skinner,Jeff,LW/C/RW,CAR
8476869,Skjei,Brady,D,NYR
8476958,Slavin,Jaccob,D,CAR
8477415,Slepyshev,Anton,LW,EDM
8474727,Smith,Ben,RW/C,COL/TOR
8474090,Smith,Brendan,D,DET/NYR
8480083,Smith,C.J.,LW/RW,BUF
8475225,Smith,Craig,RW/LW/C,NSH
8476966,Smith,Gemel,C,DAL
8475191,Smith,Reilly,RW/C/LW,FLA
8473942,Smith,Trevor,C/RW,NSH
8474250,Smith,Zack,C,OTT
8475758,Smith-Pelly,Devante,RW/C/LW,N.J
8471743,Sobotka,Vladimir,LW/C,STL
8471262,Soderberg,Carl,C/LW,COL
8475834,Sorensen,Marcus,RW/LW,S.J
8477466,Sorensen,Nick,RW,ANA
8478373,Soshnikov,Nikita,RW,TOR
8478480,Speers,Blake,C,N.J
8469455,Spezza,Jason,C,DAL
8475727,Spooner,Ryan,C/LW,BOS
8476450,Sproul,Ryan,D,DET
8474716,Spurgeon,Jared,D,MIN
8470595,Staal,Eric,C,MIN
8473533,Staal,Jordan,C/LW,CAR
8471686,Staal,Marc,D,NYR
8471226,Stafford,Drew,RW/LW,BOS/WPG
8470162,Stajan,Matt,C,CGY
8473537,Stalberg,Viktor,LW/RW,CAR/OTT
8474564,Stamkos,Steven,C,T.B
8471669,Stastny,Paul,C,STL
8479442,Stecher,Troy,D,VAN
8470257,Steen,Alex,LW/C,STL
8470740,Stempniak,Lee,RW,CAR
8474613,Stepan,Derek,C,NYR
8476905,Stephenson,Chandler,C,WSH
8473485,Stewart,Chris,RW/LW,MIN
8476798,Stollery,Karl,D,N.J
8475913,Stone,Mark,RW,OTT
8474628,Stone,Michael,D,ARI/CGY
8470886,Stoner,Clayton,D,ANA
8473565,Strait,Brian,D,WPG
8471873,Stralman,Anton,D,T.B
8476043,Street,Ben,C,DET
8468309,Streit,Mark,D,PHI/PIT
8478440,Strome,Dylan,C,ARI
8476458,Strome,Ryan,RW/C,NYI
8470614,Stuart,Mark,D,WPG
8474056,Subban,P.K.,D,NSH
8476897,Sundqvist,Oskar,C,PIT
8477205,Sustr,Andrej,D,T.B
8470600,Suter,Ryan,D,MIN
8474091,Sutter,Brandon,C,VAN
8478431,Svechnikov,Evgeny,RW/LW,DET
8479293,Tanev,Brandon,LW/C/RW,WPG
8475690,Tanev,Chris,D,VAN
8475765,Tarasenko,Vladimir,RW,STL
8475193,Tatar,Tomas,LW/C/RW,DET
8475166,Tavares,John,C,NYI
8476807,Tennyson,Matt,D,CAR
8476882,Teravainen,Teuvo,LW/C/RW,CAR
8474052,Terry,Chris,LW/RW,MTL
8477447,Theodore,Shea,D,ANA
8470775,Thompson,Nate,C,ANA
8476200,Thompson,Paul,RW,FLA
8476526,Thomson,Ben,LW,N.J
8469501,Thorburn,Chris,RW/LW,WPG
8466138,Thornton,Joe,C,S.J
8465978,Thornton,Shawn,LW,FLA
8476919,Tierney,Chris,C,S.J
8479314,Tkachuk,Matthew,LW,CGY
8473604,Toews,Jonathan,C,CHI
8475726,Toffoli,Tyler,C/RW/LW,L.A
8477566,Tolchinsky,Sergey,LW,CAR
8469547,Tootoo,Jordin,RW,CHI
8476389,Trocheck,Vincent,C/RW,FLA
8474130,Tropp,Corey,RW/LW,ANA
8476885,Trouba,Jacob,D,WPG
8477997,Tryamkin,Nikita,D,VAN
8477949,Tuch,Alex,RW,MIN
8474068,Turris,Kyle,C,OTT
8476391,Tynan,T.J.,C/RW,CBJ
8469492,Tyutin,Fedor,D,COL
8470105,Upshall,Scottie,RW/LW,STL
8474037,van Riemsdyk,James,LW,TOR
8477845,van Riemsdyk,Trevor,D,CHI
8471762,VandeVelde,Chris,C/LW,PHI
8470598,Vanek,Thomas,LW/RW,DET/FLA
8475321,Varone,Phil,C,OTT
8475222,Vatanen,Sami,D,ANA
8478366,Vatrano,Frank,C/LW,BOS
8480087,Vecchione,Mike,C/RW,PHI
8468535,Vermette,Antoine,C/LW,ANA
8477326,Vermin,Joel,RW,T.B
8471346,Versteeg,Kris,RW/LW,CGY
8476918,Vesey,Jimmy,LW,NYR
8475223,Vey,Linden,RW/C,CGY
8477937,Virtanen,Jake,RW,VAN
8471709,Vlasic,Marc-Edouard,D,S.J
8474161,Voracek,Jakub,RW,PHI
8477944,Vrana,Jakub,LW,WSH
8468085,Vrbata,Radim,RW,ARI
8475780,Wagner,Chris,C/RW,ANA
8478027,Wallmark,Lucas,C,CAR
8468208,Ward,Joel,RW/C,S.J
8474660,Warsofsky,David,D,PIT
8475766,Watson,Austin,LW,NSH
8475738,Weal,Jordan,C/LW,PHI
8470642,Weber,Shea,D,MTL
8474134,Weber,Yannick,D,NSH
8477346,Weegar,Mackenzie,D,FLA
8474668,Weise,Dale,RW,PHI
8477505,Wennberg,Alex,C,CBJ
8478460,Werenski,Zach,D,CBJ
8471218,Wheeler,Blake,RW,WPG
8478400,White,Colin,C/D,OTT
8473466,White,Ryan,C,ARI/MIN
8475227,Wideman,Chris,D,OTT
8469770,Wideman,Dennis,D,CGY
8474605,Wiercioch,Patrick,D,COL
8468508,Williams,Justin,RW,WSH
8474569,Wilson,Colin,LW/C,NSH
8476293,Wilson,Scott,LW/C,PIT
8476880,Wilson,Tom,RW,WSH
8474739,Wingels,Tommy,C/RW/LW,OTT/S.J
8471476,Winnik,Daniel,LW/C,WSH
8474722,Witkowski,Luke,D,T.B
8477425,Wood,Miles,LW,N.J
8476452,Wotherspoon,Tyler,D,CGY
8476855,Yakupov,Nail,RW/LW,STL
8471735,Yandle,Keith,D,FLA
8478401,Zacha,Pavel,C,N.J
8477507,Zadorov,Nikita,D,COL
8479458,Zaitsev,Nikita,D,TOR
8471233,Zajac,Travis,C,N.J
8477816,Zalewski,Michael,LW/C,VAN
8468083,Zetterberg,Henrik,LW/C,DET
8476459,Zibanejad,Mika,C/RW,NYR
8476158,Zolnierczyk,Harry,LW,NSH
8475692,Zuccarello,Mats,RW/C/LW,NYR
8475722,Zucker,Jason,LW/RW,MIN
8477458,Zykov,Valentin,LW,CAR
